num_iq_03m|consultas,num,iq_03m
num_dlq_bal_nbk_op_acc|cuentas,num,dlq_bal,nbk_op_acc
num_dlq_bal_au_op_acc|cuentas,num,dlq_bal,au_op_acc
num_dlq_bal_m_op_acc|cuentas,num,dlq_bal,m_op_acc
num_dlq_bal_pl_op_acc|cuentas,num,dlq_bal,pl_op_acc
num_dlq_bal_r_op_acc|cuentas,num,dlq_bal,r_op_acc
num_dlq_bal_op_acc|cuentas,num,dlq_bal,op_acc
num_dlq_bal_tu_op_acc|cuentas,num,dlq_bal,tu_op_acc
num_dlq_bal_tu_all_op_acc|cuentas,num,dlq_bal,tu_all_op_acc
num_dlq_bal_nbk_tu_op_acc|cuentas,num,dlq_bal,nbk_tu_op_acc
max_dlq_bal_amx_op_acc|cuentas,max,dlq_bal,amx_op_acc
max_dlq_bal_bk_au_op_acc|cuentas,max,dlq_bal,bk_au_op_acc
max_dlq_bal_bk_m_op_acc|cuentas,max,dlq_bal,bk_m_op_acc
max_dlq_bal_bk_pl_op_acc|cuentas,max,dlq_bal,bk_pl_op_acc
max_dlq_bal_bk_r_op_acc|cuentas,max,dlq_bal,bk_r_op_acc
max_dlq_bal_bk_op_acc|cuentas,max,dlq_bal,bk_op_acc
max_dlq_bal_nbk_au_op_acc|cuentas,max,dlq_bal,nbk_au_op_acc
max_dlq_bal_nbk_m_op_acc|cuentas,max,dlq_bal,nbk_m_op_acc
max_dlq_bal_nbk_pl_op_acc|cuentas,max,dlq_bal,nbk_pl_op_acc
max_dlq_bal_nbk_r_op_acc|cuentas,max,dlq_bal,nbk_r_op_acc
max_dlq_bal_nbk_op_acc|cuentas,max,dlq_bal,nbk_op_acc
max_dlq_bal_au_op_acc|cuentas,max,dlq_bal,au_op_acc
max_dlq_bal_m_op_acc|cuentas,max,dlq_bal,m_op_acc
max_dlq_bal_pl_op_acc|cuentas,max,dlq_bal,pl_op_acc
max_dlq_bal_r_op_acc|cuentas,max,dlq_bal,r_op_acc
max_dlq_bal_op_acc|cuentas,max,dlq_bal,op_acc
max_dlq_bal_tu_op_acc|cuentas,max,dlq_bal,tu_op_acc
max_dlq_bal_tu_all_op_acc|cuentas,max,dlq_bal,tu_all_op_acc
max_dlq_bal_nbk_tu_op_acc|cuentas,max,dlq_bal,nbk_tu_op_acc
sum_dlq_bal_amx_op_acc|cuentas,sum,dlq_bal,amx_op_acc
sum_dlq_bal_bk_au_op_acc|cuentas,sum,dlq_bal,bk_au_op_acc
sum_dlq_bal_bk_m_op_acc|cuentas,sum,dlq_bal,bk_m_op_acc
sum_dlq_bal_bk_pl_op_acc|cuentas,sum,dlq_bal,bk_pl_op_acc
sum_dlq_bal_bk_r_op_acc|cuentas,sum,dlq_bal,bk_r_op_acc
sum_dlq_bal_bk_op_acc|cuentas,sum,dlq_bal,bk_op_acc
sum_dlq_bal_nbk_au_op_acc|cuentas,sum,dlq_bal,nbk_au_op_acc
sum_dlq_bal_nbk_m_op_acc|cuentas,sum,dlq_bal,nbk_m_op_acc
sum_dlq_bal_nbk_pl_op_acc|cuentas,sum,dlq_bal,nbk_pl_op_acc
sum_dlq_bal_nbk_r_op_acc|cuentas,sum,dlq_bal,nbk_r_op_acc
sum_dlq_bal_nbk_op_acc|cuentas,sum,dlq_bal,nbk_op_acc
sum_dlq_bal_au_op_acc|cuentas,sum,dlq_bal,au_op_acc
sum_dlq_bal_m_op_acc|cuentas,sum,dlq_bal,m_op_acc
sum_dlq_bal_pl_op_acc|cuentas,sum,dlq_bal,pl_op_acc
sum_dlq_bal_r_op_acc|cuentas,sum,dlq_bal,r_op_acc
sum_dlq_bal_op_acc|cuentas,sum,dlq_bal,op_acc
sum_dlq_bal_tu_op_acc|cuentas,sum,dlq_bal,tu_op_acc
sum_dlq_bal_tu_all_op_acc|cuentas,sum,dlq_bal,tu_all_op_acc
sum_dlq_bal_nbk_tu_op_acc|cuentas,sum,dlq_bal,nbk_tu_op_acc
avg_dlq_bal_amx_op_acc|cuentas,avg,dlq_bal,amx_op_acc
avg_dlq_bal_bk_au_op_acc|cuentas,avg,dlq_bal,bk_au_op_acc
avg_dlq_bal_bk_m_op_acc|cuentas,avg,dlq_bal,bk_m_op_acc
avg_dlq_bal_bk_pl_op_acc|cuentas,avg,dlq_bal,bk_pl_op_acc
avg_dlq_bal_bk_r_op_acc|cuentas,avg,dlq_bal,bk_r_op_acc
avg_dlq_bal_bk_op_acc|cuentas,avg,dlq_bal,bk_op_acc
avg_dlq_bal_nbk_au_op_acc|cuentas,avg,dlq_bal,nbk_au_op_acc
avg_dlq_bal_nbk_m_op_acc|cuentas,avg,dlq_bal,nbk_m_op_acc
avg_dlq_bal_nbk_pl_op_acc|cuentas,avg,dlq_bal,nbk_pl_op_acc
avg_dlq_bal_nbk_r_op_acc|cuentas,avg,dlq_bal,nbk_r_op_acc
avg_dlq_bal_nbk_op_acc|cuentas,avg,dlq_bal,nbk_op_acc
avg_dlq_bal_au_op_acc|cuentas,avg,dlq_bal,au_op_acc
avg_dlq_bal_m_op_acc|cuentas,avg,dlq_bal,m_op_acc
avg_dlq_bal_pl_op_acc|cuentas,avg,dlq_bal,pl_op_acc
avg_dlq_bal_r_op_acc|cuentas,avg,dlq_bal,r_op_acc
avg_dlq_bal_op_acc|cuentas,avg,dlq_bal,op_acc
avg_dlq_bal_tu_op_acc|cuentas,avg,dlq_bal,tu_op_acc
avg_dlq_bal_tu_all_op_acc|cuentas,avg,dlq_bal,tu_all_op_acc
avg_dlq_bal_nbk_tu_op_acc|cuentas,avg,dlq_bal,nbk_tu_op_acc
sum_gd_acc_bk_au_cl_acc|cuentas,sum,gd_acc,bk_au_cl_acc
sum_gd_acc_bk_au_op_acc|cuentas,sum,gd_acc,bk_au_op_acc
sum_gd_acc_bk_au|cuentas,sum,gd_acc,bk_au
sum_gd_acc_bk_m_cl_acc|cuentas,sum,gd_acc,bk_m_cl_acc
sum_gd_acc_bk_m_op_acc|cuentas,sum,gd_acc,bk_m_op_acc
sum_gd_acc_bk_m|cuentas,sum,gd_acc,bk_m
sum_gd_acc_bk_pl_cl_acc|cuentas,sum,gd_acc,bk_pl_cl_acc
sum_gd_acc_bk_pl_op_acc|cuentas,sum,gd_acc,bk_pl_op_acc
sum_gd_acc_bk_pl|cuentas,sum,gd_acc,bk_pl
sum_gd_acc_bk_r_cl_acc|cuentas,sum,gd_acc,bk_r_cl_acc
sum_gd_acc_bk_r_op_acc|cuentas,sum,gd_acc,bk_r_op_acc
sum_gd_acc_bk_r|cuentas,sum,gd_acc,bk_r
sum_gd_acc_bk_cl_acc|cuentas,sum,gd_acc,bk_cl_acc
sum_gd_acc_bk_op_acc|cuentas,sum,gd_acc,bk_op_acc
sum_gd_acc_bk|cuentas,sum,gd_acc,bk
sum_gd_acc_nbk_au_cl_acc|cuentas,sum,gd_acc,nbk_au_cl_acc
sum_gd_acc_nbk_au_op_acc|cuentas,sum,gd_acc,nbk_au_op_acc
sum_gd_acc_nbk_au|cuentas,sum,gd_acc,nbk_au
sum_gd_acc_nbk_m_cl_acc|cuentas,sum,gd_acc,nbk_m_cl_acc
sum_gd_acc_nbk_m_op_acc|cuentas,sum,gd_acc,nbk_m_op_acc
sum_gd_acc_nbk_m|cuentas,sum,gd_acc,nbk_m
sum_gd_acc_nbk_pl_cl_acc|cuentas,sum,gd_acc,nbk_pl_cl_acc
sum_gd_acc_nbk_pl_op_acc|cuentas,sum,gd_acc,nbk_pl_op_acc
sum_gd_acc_nbk_pl|cuentas,sum,gd_acc,nbk_pl
sum_gd_acc_nbk_r_cl_acc|cuentas,sum,gd_acc,nbk_r_cl_acc
sum_gd_acc_nbk_r_op_acc|cuentas,sum,gd_acc,nbk_r_op_acc
sum_gd_acc_nbk_r|cuentas,sum,gd_acc,nbk_r
sum_gd_acc_nbk_cl_acc|cuentas,sum,gd_acc,nbk_cl_acc
sum_gd_acc_nbk_op_acc|cuentas,sum,gd_acc,nbk_op_acc
sum_gd_acc_nbk|cuentas,sum,gd_acc,nbk
sum_gd_acc_amx_cl_acc|cuentas,sum,gd_acc,amx_cl_acc
sum_gd_acc_amx_op_acc|cuentas,sum,gd_acc,amx_op_acc
sum_gd_acc_amx|cuentas,sum,gd_acc,amx
sum_gd_acc_au_cl_acc|cuentas,sum,gd_acc,au_cl_acc
sum_gd_acc_au_op_acc|cuentas,sum,gd_acc,au_op_acc
sum_gd_acc_au|cuentas,sum,gd_acc,au
sum_gd_acc_m_cl_acc|cuentas,sum,gd_acc,m_cl_acc
sum_gd_acc_m_op_acc|cuentas,sum,gd_acc,m_op_acc
sum_gd_acc_m|cuentas,sum,gd_acc,m
sum_gd_acc_pl_cl_acc|cuentas,sum,gd_acc,pl_cl_acc
sum_gd_acc_pl_op_acc|cuentas,sum,gd_acc,pl_op_acc
sum_gd_acc_pl|cuentas,sum,gd_acc,pl
sum_gd_acc_r_cl_acc|cuentas,sum,gd_acc,r_cl_acc
sum_gd_acc_r_op_acc|cuentas,sum,gd_acc,r_op_acc
sum_gd_acc_r|cuentas,sum,gd_acc,r
sum_gd_acc_cl_acc|cuentas,sum,gd_acc,cl_acc
sum_gd_acc_op_acc|cuentas,sum,gd_acc,op_acc
sum_gd_acc|cuentas,sum,gd_acc,
sum_gd_acc_tu_all|cuentas,sum,gd_acc,tu_all
sum_gd_acc_tu|cuentas,sum,gd_acc,tu
sum_gd_acc_tu_all_op_acc|cuentas,sum,gd_acc,tu_all_op_acc
sum_gd_acc_tu_op_acc|cuentas,sum,gd_acc,tu_op_acc
sum_gd_acc_tu_all_cl_acc|cuentas,sum,gd_acc,tu_all_cl_acc
sum_gd_acc_tu_cl_acc|cuentas,sum,gd_acc,tu_cl_acc
sum_gd_acc_nbk_tu|cuentas,sum,gd_acc,nbk_tu
sum_gd_acc_nbk_tu_op_acc|cuentas,sum,gd_acc,nbk_tu_op_acc
sum_gd_acc_nbk_tu_cl_acc|cuentas,sum,gd_acc,nbk_tu_cl_acc
num_gd_acc_bk_au_cl_acc|cuentas,num,gd_acc,bk_au_cl_acc
num_gd_acc_bk_au_op_acc|cuentas,num,gd_acc,bk_au_op_acc
num_gd_acc_bk_au|cuentas,num,gd_acc,bk_au
num_gd_acc_bk_m_cl_acc|cuentas,num,gd_acc,bk_m_cl_acc
num_gd_acc_bk_m_op_acc|cuentas,num,gd_acc,bk_m_op_acc
num_gd_acc_bk_m|cuentas,num,gd_acc,bk_m
num_gd_acc_bk_pl_cl_acc|cuentas,num,gd_acc,bk_pl_cl_acc
num_gd_acc_bk_pl_op_acc|cuentas,num,gd_acc,bk_pl_op_acc
num_gd_acc_bk_pl|cuentas,num,gd_acc,bk_pl
num_gd_acc_bk_r_cl_acc|cuentas,num,gd_acc,bk_r_cl_acc
num_gd_acc_bk_r_op_acc|cuentas,num,gd_acc,bk_r_op_acc
num_gd_acc_bk_r|cuentas,num,gd_acc,bk_r
num_gd_acc_bk_cl_acc|cuentas,num,gd_acc,bk_cl_acc
num_gd_acc_bk_op_acc|cuentas,num,gd_acc,bk_op_acc
num_gd_acc_bk|cuentas,num,gd_acc,bk
num_gd_acc_nbk_au_cl_acc|cuentas,num,gd_acc,nbk_au_cl_acc
num_gd_acc_nbk_au_op_acc|cuentas,num,gd_acc,nbk_au_op_acc
num_gd_acc_nbk_au|cuentas,num,gd_acc,nbk_au
num_gd_acc_nbk_m_cl_acc|cuentas,num,gd_acc,nbk_m_cl_acc
num_gd_acc_nbk_m_op_acc|cuentas,num,gd_acc,nbk_m_op_acc
num_gd_acc_nbk_m|cuentas,num,gd_acc,nbk_m
num_gd_acc_nbk_pl_cl_acc|cuentas,num,gd_acc,nbk_pl_cl_acc
num_gd_acc_nbk_pl_op_acc|cuentas,num,gd_acc,nbk_pl_op_acc
num_gd_acc_nbk_pl|cuentas,num,gd_acc,nbk_pl
num_gd_acc_nbk_r_cl_acc|cuentas,num,gd_acc,nbk_r_cl_acc
num_gd_acc_nbk_r_op_acc|cuentas,num,gd_acc,nbk_r_op_acc
num_gd_acc_nbk_r|cuentas,num,gd_acc,nbk_r
num_gd_acc_nbk_cl_acc|cuentas,num,gd_acc,nbk_cl_acc
num_gd_acc_nbk_op_acc|cuentas,num,gd_acc,nbk_op_acc
num_gd_acc_nbk|cuentas,num,gd_acc,nbk
num_gd_acc_amx_cl_acc|cuentas,num,gd_acc,amx_cl_acc
num_gd_acc_amx_op_acc|cuentas,num,gd_acc,amx_op_acc
num_gd_acc_amx|cuentas,num,gd_acc,amx
num_gd_acc_au_cl_acc|cuentas,num,gd_acc,au_cl_acc
num_gd_acc_au_op_acc|cuentas,num,gd_acc,au_op_acc
num_gd_acc_au|cuentas,num,gd_acc,au
num_gd_acc_m_cl_acc|cuentas,num,gd_acc,m_cl_acc
num_gd_acc_m_op_acc|cuentas,num,gd_acc,m_op_acc
num_gd_acc_m|cuentas,num,gd_acc,m
num_gd_acc_pl_cl_acc|cuentas,num,gd_acc,pl_cl_acc
num_gd_acc_pl_op_acc|cuentas,num,gd_acc,pl_op_acc
num_gd_acc_pl|cuentas,num,gd_acc,pl
num_gd_acc_r_cl_acc|cuentas,num,gd_acc,r_cl_acc
num_gd_acc_r_op_acc|cuentas,num,gd_acc,r_op_acc
num_gd_acc_r|cuentas,num,gd_acc,r
num_gd_acc_cl_acc|cuentas,num,gd_acc,cl_acc
num_gd_acc_op_acc|cuentas,num,gd_acc,op_acc
num_gd_acc|cuentas,num,gd_acc,
num_gd_acc_tu_all|cuentas,num,gd_acc,tu_all
num_gd_acc_tu|cuentas,num,gd_acc,tu
num_gd_acc_tu_all_op_acc|cuentas,num,gd_acc,tu_all_op_acc
num_gd_acc_tu_op_acc|cuentas,num,gd_acc,tu_op_acc
num_gd_acc_tu_all_cl_acc|cuentas,num,gd_acc,tu_all_cl_acc
num_gd_acc_tu_cl_acc|cuentas,num,gd_acc,tu_cl_acc
num_gd_acc_nbk_tu|cuentas,num,gd_acc,nbk_tu
num_gd_acc_nbk_tu_op_acc|cuentas,num,gd_acc,nbk_tu_op_acc
num_gd_acc_nbk_tu_cl_acc|cuentas,num,gd_acc,nbk_tu_cl_acc
pct_sum_gd_acc_bk_au_cl_acc|cuentas,pct_sum,gd_acc,bk_au_cl_acc
pct_sum_gd_acc_bk_au_op_acc|cuentas,pct_sum,gd_acc,bk_au_op_acc
pct_sum_gd_acc_bk_au|cuentas,pct_sum,gd_acc,bk_au
pct_sum_gd_acc_bk_m_cl_acc|cuentas,pct_sum,gd_acc,bk_m_cl_acc
pct_sum_gd_acc_bk_m_op_acc|cuentas,pct_sum,gd_acc,bk_m_op_acc
pct_sum_gd_acc_bk_m|cuentas,pct_sum,gd_acc,bk_m
pct_sum_gd_acc_bk_pl_cl_acc|cuentas,pct_sum,gd_acc,bk_pl_cl_acc
pct_sum_gd_acc_bk_pl_op_acc|cuentas,pct_sum,gd_acc,bk_pl_op_acc
pct_sum_gd_acc_bk_pl|cuentas,pct_sum,gd_acc,bk_pl
pct_sum_gd_acc_bk_r_cl_acc|cuentas,pct_sum,gd_acc,bk_r_cl_acc
pct_sum_gd_acc_bk_r_op_acc|cuentas,pct_sum,gd_acc,bk_r_op_acc
pct_sum_gd_acc_bk_r|cuentas,pct_sum,gd_acc,bk_r
pct_sum_gd_acc_bk_cl_acc|cuentas,pct_sum,gd_acc,bk_cl_acc
pct_sum_gd_acc_bk_op_acc|cuentas,pct_sum,gd_acc,bk_op_acc
pct_sum_gd_acc_bk|cuentas,pct_sum,gd_acc,bk
pct_sum_gd_acc_nbk_au_cl_acc|cuentas,pct_sum,gd_acc,nbk_au_cl_acc
pct_sum_gd_acc_nbk_au_op_acc|cuentas,pct_sum,gd_acc,nbk_au_op_acc
pct_sum_gd_acc_nbk_au|cuentas,pct_sum,gd_acc,nbk_au
pct_sum_gd_acc_nbk_m_cl_acc|cuentas,pct_sum,gd_acc,nbk_m_cl_acc
pct_sum_gd_acc_nbk_m_op_acc|cuentas,pct_sum,gd_acc,nbk_m_op_acc
pct_sum_gd_acc_nbk_m|cuentas,pct_sum,gd_acc,nbk_m
pct_sum_gd_acc_nbk_pl_cl_acc|cuentas,pct_sum,gd_acc,nbk_pl_cl_acc
pct_sum_gd_acc_nbk_pl_op_acc|cuentas,pct_sum,gd_acc,nbk_pl_op_acc
pct_sum_gd_acc_nbk_pl|cuentas,pct_sum,gd_acc,nbk_pl
pct_sum_gd_acc_nbk_r_cl_acc|cuentas,pct_sum,gd_acc,nbk_r_cl_acc
pct_sum_gd_acc_nbk_r_op_acc|cuentas,pct_sum,gd_acc,nbk_r_op_acc
pct_sum_gd_acc_nbk_r|cuentas,pct_sum,gd_acc,nbk_r
pct_sum_gd_acc_nbk_cl_acc|cuentas,pct_sum,gd_acc,nbk_cl_acc
pct_sum_gd_acc_nbk_op_acc|cuentas,pct_sum,gd_acc,nbk_op_acc
pct_sum_gd_acc_nbk|cuentas,pct_sum,gd_acc,nbk
pct_sum_gd_acc_amx_cl_acc|cuentas,pct_sum,gd_acc,amx_cl_acc
pct_sum_gd_acc_amx_op_acc|cuentas,pct_sum,gd_acc,amx_op_acc
pct_sum_gd_acc_amx|cuentas,pct_sum,gd_acc,amx
pct_sum_gd_acc_au_cl_acc|cuentas,pct_sum,gd_acc,au_cl_acc
pct_sum_gd_acc_au_op_acc|cuentas,pct_sum,gd_acc,au_op_acc
pct_sum_gd_acc_au|cuentas,pct_sum,gd_acc,au
pct_sum_gd_acc_m_cl_acc|cuentas,pct_sum,gd_acc,m_cl_acc
pct_sum_gd_acc_m_op_acc|cuentas,pct_sum,gd_acc,m_op_acc
pct_sum_gd_acc_m|cuentas,pct_sum,gd_acc,m
pct_sum_gd_acc_pl_cl_acc|cuentas,pct_sum,gd_acc,pl_cl_acc
pct_sum_gd_acc_pl_op_acc|cuentas,pct_sum,gd_acc,pl_op_acc
pct_sum_gd_acc_pl|cuentas,pct_sum,gd_acc,pl
pct_sum_gd_acc_r_cl_acc|cuentas,pct_sum,gd_acc,r_cl_acc
pct_sum_gd_acc_r_op_acc|cuentas,pct_sum,gd_acc,r_op_acc
pct_sum_gd_acc_r|cuentas,pct_sum,gd_acc,r
pct_sum_gd_acc_cl_acc|cuentas,pct_sum,gd_acc,cl_acc
pct_sum_gd_acc_op_acc|cuentas,pct_sum,gd_acc,op_acc
pct_sum_gd_acc|cuentas,pct_sum,gd_acc,
pct_sum_gd_acc_tu_all|cuentas,pct_sum,gd_acc,tu_all
pct_sum_gd_acc_tu|cuentas,pct_sum,gd_acc,tu
pct_sum_gd_acc_tu_all_op_acc|cuentas,pct_sum,gd_acc,tu_all_op_acc
pct_sum_gd_acc_tu_op_acc|cuentas,pct_sum,gd_acc,tu_op_acc
pct_sum_gd_acc_tu_all_cl_acc|cuentas,pct_sum,gd_acc,tu_all_cl_acc
pct_sum_gd_acc_tu_cl_acc|cuentas,pct_sum,gd_acc,tu_cl_acc
pct_sum_gd_acc_nbk_tu|cuentas,pct_sum,gd_acc,nbk_tu
pct_sum_gd_acc_nbk_tu_op_acc|cuentas,pct_sum,gd_acc,nbk_tu_op_acc
pct_sum_gd_acc_nbk_tu_cl_acc|cuentas,pct_sum,gd_acc,nbk_tu_cl_acc
pct_num_gd_acc_bk_au_cl_acc|cuentas,pct_num,gd_acc,bk_au_cl_acc
pct_num_gd_acc_bk_au_op_acc|cuentas,pct_num,gd_acc,bk_au_op_acc
pct_num_gd_acc_bk_au|cuentas,pct_num,gd_acc,bk_au
pct_num_gd_acc_bk_m_cl_acc|cuentas,pct_num,gd_acc,bk_m_cl_acc
pct_num_gd_acc_bk_m_op_acc|cuentas,pct_num,gd_acc,bk_m_op_acc
pct_num_gd_acc_bk_m|cuentas,pct_num,gd_acc,bk_m
pct_num_gd_acc_bk_pl_cl_acc|cuentas,pct_num,gd_acc,bk_pl_cl_acc
pct_num_gd_acc_bk_pl_op_acc|cuentas,pct_num,gd_acc,bk_pl_op_acc
pct_num_gd_acc_bk_pl|cuentas,pct_num,gd_acc,bk_pl
pct_num_gd_acc_bk_r_cl_acc|cuentas,pct_num,gd_acc,bk_r_cl_acc
pct_num_gd_acc_bk_r_op_acc|cuentas,pct_num,gd_acc,bk_r_op_acc
pct_num_gd_acc_bk_r|cuentas,pct_num,gd_acc,bk_r
pct_num_gd_acc_bk_cl_acc|cuentas,pct_num,gd_acc,bk_cl_acc
pct_num_gd_acc_bk_op_acc|cuentas,pct_num,gd_acc,bk_op_acc
pct_num_gd_acc_bk|cuentas,pct_num,gd_acc,bk
pct_num_gd_acc_nbk_au_cl_acc|cuentas,pct_num,gd_acc,nbk_au_cl_acc
pct_num_gd_acc_nbk_au_op_acc|cuentas,pct_num,gd_acc,nbk_au_op_acc
pct_num_gd_acc_nbk_au|cuentas,pct_num,gd_acc,nbk_au
pct_num_gd_acc_nbk_m_cl_acc|cuentas,pct_num,gd_acc,nbk_m_cl_acc
pct_num_gd_acc_nbk_m_op_acc|cuentas,pct_num,gd_acc,nbk_m_op_acc
pct_num_gd_acc_nbk_m|cuentas,pct_num,gd_acc,nbk_m
pct_num_gd_acc_nbk_pl_cl_acc|cuentas,pct_num,gd_acc,nbk_pl_cl_acc
pct_num_gd_acc_nbk_pl_op_acc|cuentas,pct_num,gd_acc,nbk_pl_op_acc
pct_num_gd_acc_nbk_pl|cuentas,pct_num,gd_acc,nbk_pl
pct_num_gd_acc_nbk_r_cl_acc|cuentas,pct_num,gd_acc,nbk_r_cl_acc
pct_num_gd_acc_nbk_r_op_acc|cuentas,pct_num,gd_acc,nbk_r_op_acc
pct_num_gd_acc_nbk_r|cuentas,pct_num,gd_acc,nbk_r
pct_num_gd_acc_nbk_cl_acc|cuentas,pct_num,gd_acc,nbk_cl_acc
pct_num_gd_acc_nbk_op_acc|cuentas,pct_num,gd_acc,nbk_op_acc
pct_num_gd_acc_nbk|cuentas,pct_num,gd_acc,nbk
pct_num_gd_acc_amx_cl_acc|cuentas,pct_num,gd_acc,amx_cl_acc
pct_num_gd_acc_amx_op_acc|cuentas,pct_num,gd_acc,amx_op_acc
pct_num_gd_acc_amx|cuentas,pct_num,gd_acc,amx
pct_num_gd_acc_au_cl_acc|cuentas,pct_num,gd_acc,au_cl_acc
pct_num_gd_acc_au_op_acc|cuentas,pct_num,gd_acc,au_op_acc
pct_num_gd_acc_au|cuentas,pct_num,gd_acc,au
pct_num_gd_acc_m_cl_acc|cuentas,pct_num,gd_acc,m_cl_acc
pct_num_gd_acc_m_op_acc|cuentas,pct_num,gd_acc,m_op_acc
pct_num_gd_acc_m|cuentas,pct_num,gd_acc,m
pct_num_gd_acc_pl_cl_acc|cuentas,pct_num,gd_acc,pl_cl_acc
pct_num_gd_acc_pl_op_acc|cuentas,pct_num,gd_acc,pl_op_acc
pct_num_gd_acc_pl|cuentas,pct_num,gd_acc,pl
pct_num_gd_acc_r_cl_acc|cuentas,pct_num,gd_acc,r_cl_acc
pct_num_gd_acc_r_op_acc|cuentas,pct_num,gd_acc,r_op_acc
pct_num_gd_acc_r|cuentas,pct_num,gd_acc,r
pct_num_gd_acc_cl_acc|cuentas,pct_num,gd_acc,cl_acc
pct_num_gd_acc_op_acc|cuentas,pct_num,gd_acc,op_acc
pct_num_gd_acc|cuentas,pct_num,gd_acc,
pct_num_gd_acc_tu_all|cuentas,pct_num,gd_acc,tu_all
pct_num_gd_acc_tu|cuentas,pct_num,gd_acc,tu
pct_num_gd_acc_tu_all_op_acc|cuentas,pct_num,gd_acc,tu_all_op_acc
pct_num_gd_acc_tu_op_acc|cuentas,pct_num,gd_acc,tu_op_acc
pct_num_gd_acc_tu_all_cl_acc|cuentas,pct_num,gd_acc,tu_all_cl_acc
pct_num_gd_acc_tu_cl_acc|cuentas,pct_num,gd_acc,tu_cl_acc
pct_num_gd_acc_nbk_tu|cuentas,pct_num,gd_acc,nbk_tu
pct_num_gd_acc_nbk_tu_op_acc|cuentas,pct_num,gd_acc,nbk_tu_op_acc
pct_num_gd_acc_nbk_tu_cl_acc|cuentas,pct_num,gd_acc,nbk_tu_cl_acc
avg_log_base_mop_of_bal_mop_bk_au_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_au_cl_acc
avg_log_base_mop_of_bal_mop_bk_au_op_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_au_op_acc
avg_log_base_mop_of_bal_mop_bk_au|cuentas,avg,log_base_mop_of_bal_mop,bk_au
avg_log_base_mop_of_bal_mop_bk_m_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_m_cl_acc
avg_log_base_mop_of_bal_mop_bk_m_op_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_m_op_acc
avg_log_base_mop_of_bal_mop_bk_m|cuentas,avg,log_base_mop_of_bal_mop,bk_m
avg_log_base_mop_of_bal_mop_bk_pl_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_pl_cl_acc
avg_log_base_mop_of_bal_mop_bk_pl_op_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_pl_op_acc
avg_log_base_mop_of_bal_mop_bk_pl|cuentas,avg,log_base_mop_of_bal_mop,bk_pl
avg_log_base_mop_of_bal_mop_bk_r_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_r_cl_acc
avg_log_base_mop_of_bal_mop_bk_r_op_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_r_op_acc
avg_log_base_mop_of_bal_mop_bk_r|cuentas,avg,log_base_mop_of_bal_mop,bk_r
avg_log_base_mop_of_bal_mop_bk_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_cl_acc
avg_log_base_mop_of_bal_mop_bk_op_acc|cuentas,avg,log_base_mop_of_bal_mop,bk_op_acc
avg_log_base_mop_of_bal_mop_bk|cuentas,avg,log_base_mop_of_bal_mop,bk
avg_log_base_mop_of_bal_mop_nbk_au_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_au_cl_acc
avg_log_base_mop_of_bal_mop_nbk_au_op_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_au_op_acc
avg_log_base_mop_of_bal_mop_nbk_au|cuentas,avg,log_base_mop_of_bal_mop,nbk_au
avg_log_base_mop_of_bal_mop_nbk_m_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_m_cl_acc
avg_log_base_mop_of_bal_mop_nbk_m_op_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_m_op_acc
avg_log_base_mop_of_bal_mop_nbk_m|cuentas,avg,log_base_mop_of_bal_mop,nbk_m
avg_log_base_mop_of_bal_mop_nbk_pl_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_pl_cl_acc
avg_log_base_mop_of_bal_mop_nbk_pl_op_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_pl_op_acc
avg_log_base_mop_of_bal_mop_nbk_pl|cuentas,avg,log_base_mop_of_bal_mop,nbk_pl
avg_log_base_mop_of_bal_mop_nbk_r_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_r_cl_acc
avg_log_base_mop_of_bal_mop_nbk_r_op_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_r_op_acc
avg_log_base_mop_of_bal_mop_nbk_r|cuentas,avg,log_base_mop_of_bal_mop,nbk_r
avg_log_base_mop_of_bal_mop_nbk_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_cl_acc
avg_log_base_mop_of_bal_mop_nbk_op_acc|cuentas,avg,log_base_mop_of_bal_mop,nbk_op_acc
avg_log_base_mop_of_bal_mop_nbk|cuentas,avg,log_base_mop_of_bal_mop,nbk
avg_log_base_mop_of_bal_mop_amx_cl_acc|cuentas,avg,log_base_mop_of_bal_mop,amx_cl_acc
avg_log_base_mop_of_bal_mop_amx_op_acc|cuentas,avg,log_base_mop_of_bal_mop,amx_op_acc
